partido_id,fecha_utc,fecha_ART,hora_ART,grupo,equipo_local,abrev_local,equipo_visitante,abrev_visitante,prob_local_pct,prob_empate_pct,prob_visitante_pct,top1,xG_local,xG_visitante,xG_total,factor_localidad,factor_forma,factor_h2h,factor_tabla,factor_bajas,factor_goles
74,2026-06-11T19:00:00,2026-06-11,16:00,A,México,MX,Sudáfrica,ZA,67.3,23.4,9.3,Local,1.69,0.35,2.04,1.0,4.6,0.0,0.0,0.0,6.7
75,2026-06-12T02:00:00,2026-06-12,23:00,A,Corea del Sur,KR,República Checa,CZ,32.2,33.1,34.7,Visitante,1.32,1.26,2.58,0.0,-3.7,0.0,0.0,0.0,-4.8
76,2026-06-12T19:00:00,2026-06-12,16:00,B,Canadá,CA,Bosnia y Herzegovina,BA,48.4,30.5,21.1,Local,1.75,0.64,2.39,1.0,-0.3,0.0,0.0,0.0,-0.9
77,2026-06-13T01:00:00,2026-06-13,22:00,D,Estados Unidos,US,Paraguay,PY,37.8,29.5,32.7,Local,1.32,1.61,2.93,1.0,3.9,0.0,0.0,0.0,4.9
78,2026-06-13T19:00:00,2026-06-13,16:00,B,Qatar,QA,Suiza,CH,5.5,14.8,79.7,Visitante,0.37,2.82,3.19,0.0,-7.9,0.0,0.0,0.0,-7.2
79,2026-06-13T22:00:00,2026-06-13,19:00,C,Brasil,BR,Marruecos,MA,38.5,32.9,28.6,Local,1.16,1.2,2.36,0.0,0.4,0.0,0.0,-9.0,6.6
80,2026-06-14T01:00:00,2026-06-14,22:00,C,Haití,HT,Escocia,SQ,15.0,25.5,59.5,Visitante,0.6,1.91,2.51,0.0,-5.0,0.0,0.0,4.5,-5.6
81,2026-06-14T04:00:00,2026-06-14,01:00,D,Australia,AU,Turquía,TR,23.4,28.7,47.9,Visitante,1.2,1.25,2.45,0.0,-6.9,0.0,0.0,0.0,-9.0
82,2026-06-14T17:00:00,2026-06-14,14:00,E,Alemania,DE,Curazao,CW,89.4,8.6,2.1,Local,5.61,0.63,6.24,0.0,14.9,0.0,0.0,0.0,14.4
83,2026-06-14T20:00:00,2026-06-14,17:00,F,Países Bajos,NL,Japón,JP,39.6,33.1,27.3,Local,0.75,0.85,1.6,0.0,6.6,0.0,0.0,0.0,6.4
84,2026-06-14T23:00:00,2026-06-14,20:00,E,Costa de Marfil,CI,Ecuador,EC,27.5,38.3,34.2,Empate,0.62,0.85,1.47,0.0,3.1,0.0,0.0,0.0,4.4
85,2026-06-15T02:00:00,2026-06-15,23:00,F,Suecia,SE,Túnez,TN,43.5,29.3,27.2,Local,1.36,1.43,2.79,0.0,5.6,0.0,0.0,0.0,6.4
86,2026-06-15T16:00:00,2026-06-15,13:00,H,España,ES,Cabo Verde,CV,81.5,13.9,4.6,Local,2.65,0.79,3.44,0.0,14.9,0.0,0.0,0.0,15.0
87,2026-06-15T19:00:00,2026-06-15,16:00,G,Bélgica,BE,Egipto,EG,52.4,28.0,19.6,Local,1.31,0.95,2.26,0.0,11.2,0.0,0.0,0.0,9.0
88,2026-06-15T22:00:00,2026-06-15,19:00,H,Arabia Saudita,SA,Uruguay,UY,11.2,26.2,62.7,Visitante,0.4,1.32,1.72,0.0,-5.8,0.0,0.0,0.0,-5.8
89,2026-06-16T01:00:00,2026-06-16,22:00,G,Irán,IR,Nueva Zelanda,NZ,50.5,29.3,20.2,Local,1.53,0.67,2.2,0.0,-0.7,0.0,0.0,0.0,-0.6
90,2026-06-16T19:00:00,2026-06-16,16:00,I,Francia,FR,Senegal,SN,61.3,24.1,14.6,Local,1.97,0.88,2.85,0.0,7.8,0.0,0.0,0.0,7.2
91,2026-06-16T22:00:00,2026-06-16,19:00,I,Irak,IQ,Noruega,NO,8.0,20.2,71.8,Visitante,0.38,1.72,2.1,0.0,-7.6,0.0,0.0,0.0,-9.8
92,2026-06-17T01:00:00,2026-06-17,22:00,J,Argentina,AR,Argelia,DZ,59.0,28.7,12.3,Local,1.16,0.37,1.53,0.0,5.4,0.0,0.0,-4.5,3.9
93,2026-06-17T04:00:00,2026-06-17,01:00,J,Austria,AT,Jordania,JO,61.0,23.2,15.8,Local,2.35,1.07,3.42,0.0,8.8,0.0,0.0,-4.5,6.4
94,2026-06-17T17:00:00,2026-06-17,14:00,K,Portugal,PT,RD del Congo,CD,53.9,29.7,16.4,Local,1.08,0.55,1.63,0.0,8.0,0.0,0.0,0.0,7.8
95,2026-06-17T20:00:00,2026-06-17,17:00,L,Inglaterra,EN,Croacia,HR,46.0,29.9,24.1,Local,1.27,1.01,2.28,0.0,2.7,0.0,0.0,0.0,2.9
96,2026-06-17T23:00:00,2026-06-17,20:00,L,Ghana,GH,Panamá,PA,33.4,28.1,38.5,Visitante,1.17,1.52,2.69,0.0,4.8,0.0,0.0,0.0,7.9
97,2026-06-18T02:00:00,2026-06-18,23:00,K,Uzbekistán,UZ,Colombia,CO,12.9,24.0,63.1,Visitante,0.73,1.83,2.56,0.0,-4.3,0.0,0.0,0.0,-1.1
98,2026-06-18T16:00:00,2026-06-18,13:00,A,República Checa,CZ,Sudáfrica,ZA,52.3,28.7,19.0,Local,1.35,0.86,2.21,0.0,7.3,0.0,0.0,0.0,8.4
99,2026-06-18T19:00:00,2026-06-18,16:00,B,Suiza,CH,Bosnia y Herzegovina,BA,54.1,27.5,18.4,Local,2.1,0.76,2.86,0.0,5.2,0.0,0.0,0.0,5.0
100,2026-06-18T22:00:00,2026-06-18,19:00,B,Canadá,CA,Qatar,QA,74.3,18.0,7.7,Local,2.35,0.31,2.66,1.0,2.4,0.0,0.0,0.0,1.3
101,2026-06-19T01:00:00,2026-06-19,22:00,A,México,MX,Corea del Sur,KR,47.8,32.0,20.3,Local,1.58,0.53,2.11,1.0,1.1,0.0,0.0,0.0,3.1
102,2026-06-19T19:00:00,2026-06-19,16:00,D,Estados Unidos,US,Australia,AU,37.1,29.7,33.3,Local,1.4,1.5,2.9,1.0,6.2,0.0,0.0,0.0,8.6
103,2026-06-19T22:00:00,2026-06-19,19:00,C,Escocia,SQ,Marruecos,MA,16.0,31.1,53.0,Visitante,0.6,1.6,2.2,0.0,-2.7,0.0,0.0,-4.5,0.9
104,2026-06-20T00:30:00,2026-06-20,21:30,C,Brasil,BR,Haití,HT,78.3,14.7,7.0,Local,3.67,0.44,4.11,0.0,8.1,0.0,0.0,-9.0,11.3
105,2026-06-20T03:00:00,2026-06-20,00:00,D,Turquía,TR,Paraguay,PY,37.9,30.7,31.4,Local,1.18,1.29,2.47,0.0,4.7,0.0,0.0,0.0,5.3
106,2026-06-20T17:00:00,2026-06-20,14:00,F,Países Bajos,NL,Suecia,SE,62.9,20.8,16.2,Local,2.76,1.39,4.15,0.0,5.2,0.0,0.0,0.0,3.3
107,2026-06-20T20:00:00,2026-06-20,17:00,E,Alemania,DE,Costa de Marfil,CI,43.0,30.5,26.5,Local,1.66,1.27,2.93,0.0,6.8,0.0,0.0,0.0,6.6
108,2026-06-21T00:00:00,2026-06-21,21:00,E,Ecuador,EC,Curazao,CW,81.0,14.1,4.9,Local,2.86,0.31,3.17,0.0,5.1,0.0,0.0,0.0,3.4
109,2026-06-21T04:00:00,2026-06-21,01:00,F,Túnez,TN,Japón,JP,14.8,35.3,49.9,Visitante,0.39,0.83,1.22,0.0,-4.2,0.0,0.0,0.0,-3.3
110,2026-06-21T16:00:00,2026-06-21,13:00,H,España,ES,Arabia Saudita,SA,82.9,14.4,2.7,Local,2.64,0.37,3.01,0.0,14.1,0.0,0.0,0.0,14.0
111,2026-06-21T19:00:00,2026-06-21,16:00,G,Bélgica,BE,Irán,IR,45.7,28.6,25.7,Local,1.38,1.24,2.62,0.0,12.5,0.0,0.0,0.0,13.2
112,2026-06-21T22:00:00,2026-06-21,19:00,H,Uruguay,UY,Cabo Verde,CV,55.1,27.7,17.3,Local,1.33,0.87,2.2,0.0,6.6,0.0,0.0,0.0,6.8
113,2026-06-22T01:00:00,2026-06-22,22:00,G,Nueva Zelanda,NZ,Egipto,EG,21.7,33.3,45.1,Visitante,0.64,1.18,1.82,0.0,-0.6,0.0,0.0,0.0,-3.6
114,2026-06-22T17:00:00,2026-06-22,14:00,J,Argentina,AR,Austria,AT,53.6,33.6,12.8,Local,1.16,0.46,1.62,0.0,3.7,0.0,0.0,0.0,6.7
115,2026-06-22T21:00:00,2026-06-22,18:00,I,Francia,FR,Irak,IQ,77.6,18.2,4.2,Local,2.1,0.37,2.47,0.0,17.1,0.0,0.0,0.0,17.4
116,2026-06-23T00:00:00,2026-06-23,21:00,I,Noruega,NO,Senegal,SN,42.8,30.6,26.7,Local,1.61,0.91,2.52,0.0,-1.7,0.0,0.0,0.0,-0.4
117,2026-06-23T03:00:00,2026-06-23,00:00,J,Jordania,JO,Argelia,DZ,20.9,27.2,51.9,Visitante,1.06,1.9,2.96,0.0,-7.1,0.0,0.0,0.0,-9.3
118,2026-06-23T17:00:00,2026-06-23,14:00,K,Portugal,PT,Uzbekistán,UZ,60.8,27.6,11.6,Local,1.35,0.5,1.85,0.0,13.0,0.0,0.0,0.0,13.6
119,2026-06-23T20:00:00,2026-06-23,17:00,L,Inglaterra,EN,Ghana,GH,74.3,19.5,6.2,Local,2.09,0.5,2.59,0.0,8.1,0.0,0.0,0.0,7.1
120,2026-06-23T23:00:00,2026-06-23,20:00,L,Panamá,PA,Croacia,HR,13.0,21.6,65.4,Visitante,0.93,2.37,3.3,0.0,-10.2,0.0,0.0,0.0,-12.1
121,2026-06-24T02:00:00,2026-06-24,23:00,K,Colombia,CO,RD del Congo,CD,40.8,33.6,25.6,Local,1.47,0.8,2.27,0.0,-0.7,0.0,0.0,0.0,-4.6
123,2026-06-24T19:00:00,2026-06-24,16:00,B,Bosnia y Herzegovina,BA,Qatar,QA,48.6,31.4,20.0,Local,1.61,0.59,2.2,0.0,2.6,0.0,0.0,0.0,2.2
122,2026-06-24T19:00:00,2026-06-24,16:00,B,Suiza,CH,Canadá,CA,38.9,31.8,29.3,Local,1.12,1.11,2.23,-1.0,5.5,0.0,0.0,0.0,5.9
125,2026-06-24T22:00:00,2026-06-24,19:00,C,Escocia,SQ,Brasil,BR,15.0,26.6,58.5,Visitante,0.96,2.47,3.43,0.0,-3.1,0.0,0.0,4.5,-5.7
124,2026-06-24T22:00:00,2026-06-24,19:00,C,Marruecos,MA,Haití,HT,76.0,17.2,6.8,Local,2.38,0.28,2.66,0.0,7.7,0.0,0.0,0.0,4.7
126,2026-06-25T01:00:00,2026-06-25,22:00,A,República Checa,CZ,México,MX,18.2,24.5,57.2,Visitante,0.64,1.99,2.63,-1.0,2.6,0.0,0.0,0.0,1.7
127,2026-06-25T01:00:00,2026-06-25,22:00,A,Sudáfrica,ZA,Corea del Sur,KR,23.2,35.9,40.9,Visitante,0.68,1.12,1.8,0.0,-3.6,0.0,0.0,0.0,-3.6
128,2026-06-25T20:00:00,2026-06-25,17:00,E,Ecuador,EC,Alemania,DE,28.7,33.5,37.8,Visitante,0.99,0.95,1.94,0.0,-9.9,0.0,0.0,0.0,-11.0
129,2026-06-25T20:00:00,2026-06-25,17:00,E,Curazao,CW,Costa de Marfil,CI,12.2,18.3,69.4,Visitante,0.54,3.65,4.19,0.0,-8.2,0.0,0.0,0.0,-7.8
131,2026-06-25T23:00:00,2026-06-25,20:00,F,Japón,JP,Suecia,SE,52.0,27.5,20.4,Local,1.7,0.76,2.46,0.0,-1.4,0.0,0.0,0.0,-3.2
130,2026-06-25T23:00:00,2026-06-25,20:00,F,Túnez,TN,Países Bajos,NL,13.6,27.3,59.1,Visitante,0.71,1.35,2.06,0.0,-10.8,0.0,0.0,0.0,-9.7
132,2026-06-26T02:00:00,2026-06-26,23:00,D,Turquía,TR,Estados Unidos,US,43.8,25.2,31.0,Local,2.29,2.07,4.36,-1.0,0.7,0.0,0.0,0.0,0.4
133,2026-06-26T02:00:00,2026-06-26,23:00,D,Paraguay,PY,Australia,AU,36.0,36.1,27.9,Empate,0.87,0.77,1.64,0.0,2.3,0.0,0.0,0.0,3.7
134,2026-06-26T19:00:00,2026-06-26,16:00,I,Noruega,NO,Francia,FR,21.5,29.7,48.8,Visitante,0.95,1.21,2.16,0.0,-9.5,0.0,0.0,0.0,-7.6
135,2026-06-26T19:00:00,2026-06-26,16:00,I,Senegal,SN,Irak,IQ,61.9,25.7,12.4,Local,1.58,0.62,2.2,0.0,9.3,0.0,0.0,0.0,10.3
136,2026-06-27T00:00:00,2026-06-27,21:00,H,Uruguay,UY,España,ES,13.6,28.2,58.2,Visitante,0.6,1.32,1.92,0.0,-8.3,0.0,0.0,0.0,-8.2
137,2026-06-27T00:00:00,2026-06-27,21:00,H,Cabo Verde,CV,Arabia Saudita,SA,44.7,30.1,25.2,Local,1.73,0.81,2.54,0.0,-0.8,0.0,0.0,0.0,-1.0
139,2026-06-27T03:00:00,2026-06-27,00:00,G,Egipto,EG,Irán,IR,28.2,35.3,36.5,Visitante,0.78,0.97,1.75,0.0,1.3,0.0,0.0,0.0,4.2
138,2026-06-27T03:00:00,2026-06-27,00:00,G,Nueva Zelanda,NZ,Bélgica,BE,11.2,22.1,66.7,Visitante,0.81,2.07,2.88,0.0,-11.8,0.0,0.0,0.0,-12.6
140,2026-06-27T21:00:00,2026-06-27,18:00,L,Panamá,PA,Inglaterra,EN,8.9,18.9,72.1,Visitante,0.78,2.54,3.32,0.0,-12.9,0.0,0.0,0.0,-15.0
141,2026-06-27T21:00:00,2026-06-27,18:00,L,Croacia,HR,Ghana,GH,68.8,21.8,9.4,Local,1.95,0.59,2.54,0.0,5.4,0.0,0.0,0.0,4.3
143,2026-06-27T23:30:00,2026-06-27,20:30,K,RD del Congo,CD,Uzbekistán,UZ,36.1,39.7,24.2,Empate,0.77,0.56,1.33,0.0,5.0,0.0,0.0,0.0,5.7
142,2026-06-27T23:30:00,2026-06-27,20:30,K,Colombia,CO,Portugal,PT,28.4,30.1,41.5,Visitante,1.3,1.4,2.7,0.0,-8.7,0.0,0.0,0.0,-12.4
144,2026-06-28T02:00:00,2026-06-28,23:00,J,Jordania,JO,Argentina,AR,6.1,17.4,76.5,Visitante,0.47,2.62,3.09,0.0,-12.5,0.0,0.0,4.5,-13.1
145,2026-06-28T02:00:00,2026-06-28,23:00,J,Argelia,DZ,Austria,AT,27.8,35.6,36.6,Visitante,0.84,1.04,1.88,0.0,-1.7,0.0,0.0,4.5,2.9
