grupo,seleccion,posicion,jugador,club,fuente
A,México,Arquero,Raul Rangel,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Arquero,Guillermo Ochoa,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Arquero,Carlos Acevedo,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Defensor,Jorge Sanchez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Defensor,Israel Reyes,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Defensor,Cesar Montes,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Defensor,Johan Vasquez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Defensor,Jesus Gallardo,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Defensor,Mateo Chavez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Erik Lira,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Orbelin Pineda,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Alvaro Fidalgo,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Brian Gutierrez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Luis Romo,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Edson Alvarez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Obed Vargas,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Gilberto Mora,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Mediocampista,Luis Chavez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Roberto Alvarado,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Cesar Huerta,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Alexis Vega,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Julian Quinones,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Guillermo Martinez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Armando Gonzalez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Santiago Gimenez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,México,Delantero,Raul Jimenez,,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
A,Sudáfrica,Arquero,Ronwen Williams,Mamelodi Sundowns,https://www.reuters.com/sports/soccer/world-cup-2026-list-26-man-squads-finals-2026-06-02/
