equipo_x,equipo_y,victorias_x,empates,victorias_y,partidos,verified
Athletic Club,Atlético de Madrid,85,36,97,218,1
Athletic Club,CA Osasuna,44,26,20,90,0
Athletic Club,Celta de Vigo,71,27,38,136,1
Athletic Club,Deportivo Alavés,37,12,10,59,1
Athletic Club,Elche CF,22,16,12,50,0
Athletic Club,FC Barcelona,60,32,98,190,0
Athletic Club,Getafe CF,13,18,11,42,0
Athletic Club,Girona FC,5,2,5,12,0
Athletic Club,Levante UD,20,7,7,34,0
Athletic Club,Rayo Vallecano,26,11,9,46,0
Athletic Club,RCD Espanyol,74,36,68,178,0
Athletic Club,RCD Mallorca,30,18,18,66,0
Athletic Club,Real Betis,49,37,34,120,0
Athletic Club,Real Madrid,52,37,101,190,0
Athletic Club,Real Oviedo,35,16,27,78,0
Athletic Club,Real Sociedad,63,41,54,158,0
Athletic Club,Sevilla FC,65,32,67,164,0
Athletic Club,Valencia CF,66,46,70,182,0
Athletic Club,Villarreal CF,15,17,20,52,0
Atlético de Madrid,CA Osasuna,50,10,24,84,0
Atlético de Madrid,Celta de Vigo,70,22,24,116,0
Atlético de Madrid,Deportivo Alavés,16,7,7,30,0
Atlético de Madrid,Elche CF,30,10,10,50,0
Atlético de Madrid,FC Barcelona,53,42,83,178,0
Atlético de Madrid,Getafe CF,28,9,5,42,0
Atlético de Madrid,Girona FC,8,3,1,12,0
Atlético de Madrid,Levante UD,19,7,8,34,0
Atlético de Madrid,Rayo Vallecano,26,8,8,42,0
Atlético de Madrid,RCD Espanyol,84,34,48,166,0
Atlético de Madrid,RCD Mallorca,30,15,17,62,0
Atlético de Madrid,Real Betis,61,25,30,116,0
Atlético de Madrid,Real Madrid,42,44,92,178,0
Atlético de Madrid,Real Oviedo,34,17,23,74,0
Atlético de Madrid,Real Sociedad,75,32,41,148,0
Atlético de Madrid,Sevilla FC,65,52,47,164,0
Atlético de Madrid,Valencia CF,69,45,58,172,0
Atlético de Madrid,Villarreal CF,17,16,15,48,0
CA Osasuna,Celta de Vigo,19,10,25,54,0
CA Osasuna,Deportivo Alavés,13,5,4,22,0
CA Osasuna,Elche CF,6,10,4,20,0
CA Osasuna,FC Barcelona,17,18,53,88,0
CA Osasuna,Getafe CF,7,12,15,34,0
CA Osasuna,Girona FC,3,1,4,8,0
CA Osasuna,Levante UD,11,3,8,22,0
CA Osasuna,Rayo Vallecano,12,6,10,28,0
CA Osasuna,RCD Espanyol,32,19,27,78,0
CA Osasuna,RCD Mallorca,18,24,12,54,0
CA Osasuna,Real Betis,21,11,36,68,0
CA Osasuna,Real Madrid,14,20,54,88,0
CA Osasuna,Real Oviedo,11,6,11,28,0
CA Osasuna,Real Sociedad,21,18,39,78,0
CA Osasuna,Sevilla FC,26,23,37,86,0
CA Osasuna,Valencia CF,20,24,42,86,0
CA Osasuna,Villarreal CF,13,10,19,42,0
Celta de Vigo,Deportivo Alavés,14,8,12,34,0
Celta de Vigo,Elche CF,11,5,8,24,0
Celta de Vigo,FC Barcelona,23,28,69,120,0
Celta de Vigo,Getafe CF,9,10,11,30,0
Celta de Vigo,Girona FC,3,5,4,12,0
Celta de Vigo,Levante UD,12,4,6,22,0
Celta de Vigo,Rayo Vallecano,10,12,18,40,0
Celta de Vigo,RCD Espanyol,37,27,46,110,0
Celta de Vigo,RCD Mallorca,14,11,13,38,0
Celta de Vigo,Real Betis,25,18,27,70,0
Celta de Vigo,Real Madrid,30,17,73,120,0
Celta de Vigo,Real Oviedo,21,10,21,52,0
Celta de Vigo,Real Sociedad,34,28,46,108,0
Celta de Vigo,Sevilla FC,42,19,47,108,0
Celta de Vigo,Valencia CF,33,31,56,120,0
Celta de Vigo,Villarreal CF,15,8,17,40,0
Deportivo Alavés,Elche CF,3,1,2,6,0
Deportivo Alavés,FC Barcelona,6,7,27,40,0
Deportivo Alavés,Getafe CF,2,9,7,18,0
Deportivo Alavés,Girona FC,3,3,4,10,0
Deportivo Alavés,Levante UD,7,2,3,12,0
Deportivo Alavés,Rayo Vallecano,6,2,10,18,0
Deportivo Alavés,RCD Espanyol,14,8,14,36,0
Deportivo Alavés,RCD Mallorca,4,7,11,22,0
Deportivo Alavés,Real Betis,9,8,13,30,0
Deportivo Alavés,Real Madrid,4,2,34,40,0
Deportivo Alavés,Real Oviedo,3,3,2,8,0
Deportivo Alavés,Real Sociedad,12,10,18,40,0
Deportivo Alavés,Sevilla FC,9,9,12,30,0
Deportivo Alavés,Valencia CF,10,10,18,38,0
Deportivo Alavés,Villarreal CF,12,4,12,28,0
Elche CF,FC Barcelona,8,12,30,50,0
Elche CF,Getafe CF,4,4,4,12,0
Elche CF,Girona FC,1,1,2,4,0
Elche CF,Levante UD,5,5,4,14,0
Elche CF,Rayo Vallecano,8,0,4,12,0
Elche CF,RCD Espanyol,15,13,16,44,0
Elche CF,RCD Mallorca,7,5,4,16,0
Elche CF,Real Betis,9,12,17,38,0
Elche CF,Real Madrid,6,12,32,50,0
Elche CF,Real Oviedo,9,4,7,20,0
Elche CF,Real Sociedad,8,8,24,40,0
Elche CF,Sevilla FC,11,13,20,44,0
Elche CF,Valencia CF,14,11,25,50,0
Elche CF,Villarreal CF,2,4,6,12,0
FC Barcelona,Getafe CF,29,10,3,42,0
FC Barcelona,Girona FC,7,2,3,12,0
FC Barcelona,Levante UD,26,5,3,34,0
FC Barcelona,Rayo Vallecano,28,11,7,46,0
FC Barcelona,RCD Espanyol,106,40,34,180,0
FC Barcelona,RCD Mallorca,44,11,13,68,0
FC Barcelona,Real Betis,75,23,22,120,0
FC Barcelona,Real Madrid,105,52,106,263,1
FC Barcelona,Real Oviedo,44,10,24,78,0
FC Barcelona,Real Sociedad,91,32,35,158,0
FC Barcelona,Sevilla FC,92,35,37,164,0
FC Barcelona,Valencia CF,92,46,44,182,0
FC Barcelona,Villarreal CF,32,9,11,52,0
Getafe CF,Girona FC,5,3,4,12,0
Getafe CF,Levante UD,9,11,10,30,0
Getafe CF,Rayo Vallecano,3,7,12,22,0
Getafe CF,RCD Espanyol,14,8,16,38,0
Getafe CF,RCD Mallorca,13,5,12,30,0
Getafe CF,Real Betis,11,12,13,36,0
Getafe CF,Real Madrid,7,4,31,42,0
Getafe CF,Real Oviedo,1,1,0,2,0
Getafe CF,Real Sociedad,15,11,10,36,0
Getafe CF,Sevilla FC,15,7,20,42,0
Getafe CF,Valencia CF,12,9,21,42,0
Getafe CF,Villarreal CF,9,9,22,40,0
Girona FC,Levante UD,1,3,2,6,0
Girona FC,Rayo Vallecano,4,4,2,10,0
Girona FC,RCD Espanyol,5,3,2,10,0
Girona FC,RCD Mallorca,4,1,3,8,0
Girona FC,Real Betis,1,4,7,12,0
Girona FC,Real Madrid,3,3,6,12,0
Girona FC,Real Oviedo,0,1,1,2,0
Girona FC,Real Sociedad,1,7,4,12,0
Girona FC,Sevilla FC,6,1,5,12,0
Girona FC,Valencia CF,5,1,6,12,0
Girona FC,Villarreal CF,4,1,7,12,0
Levante UD,Rayo Vallecano,5,3,8,16,0
Levante UD,RCD Espanyol,9,13,10,32,0
Levante UD,RCD Mallorca,6,5,7,18,0
Levante UD,Real Betis,9,5,16,30,0
Levante UD,Real Madrid,5,4,25,34,0
Levante UD,Real Oviedo,3,1,2,6,0
Levante UD,Real Sociedad,10,10,8,28,0
Levante UD,Sevilla FC,7,8,19,34,0
Levante UD,Valencia CF,8,9,17,34,0
Levante UD,Villarreal CF,7,2,19,28,0
Rayo Vallecano,RCD Espanyol,9,11,20,40,0
Rayo Vallecano,RCD Mallorca,4,6,14,24,0
Rayo Vallecano,Real Betis,9,12,13,34,0
Rayo Vallecano,Real Madrid,6,7,33,46,0
Rayo Vallecano,Real Oviedo,2,6,8,16,0
Rayo Vallecano,Real Sociedad,14,14,18,46,0
Rayo Vallecano,Sevilla FC,10,11,23,44,0
Rayo Vallecano,Valencia CF,10,14,22,46,0
Rayo Vallecano,Villarreal CF,6,5,15,26,0
RCD Espanyol,RCD Mallorca,26,9,25,60,0
RCD Espanyol,Real Betis,41,34,39,114,0
RCD Espanyol,Real Madrid,37,33,110,180,0
RCD Espanyol,Real Oviedo,33,14,25,72,0
RCD Espanyol,Real Sociedad,49,38,61,148,0
RCD Espanyol,Sevilla FC,48,29,75,152,0
RCD Espanyol,Valencia CF,51,38,81,170,0
RCD Espanyol,Villarreal CF,7,20,21,48,0
RCD Mallorca,Real Betis,21,7,26,54,0
RCD Mallorca,Real Madrid,12,12,44,68,0
RCD Mallorca,Real Oviedo,9,9,4,22,0
RCD Mallorca,Real Sociedad,19,9,28,56,0
RCD Mallorca,Sevilla FC,15,21,24,60,0
RCD Mallorca,Valencia CF,15,16,33,64,0
RCD Mallorca,Villarreal CF,9,11,18,38,0
Real Betis,Real Madrid,27,28,65,120,0
Real Betis,Real Oviedo,22,13,9,44,0
Real Betis,Real Sociedad,35,29,40,104,0
Real Betis,Sevilla FC,32,28,50,110,0
Real Betis,Valencia CF,37,26,55,118,0
Real Betis,Villarreal CF,16,11,17,44,0
Real Madrid,Real Oviedo,48,16,14,78,0
Real Madrid,Real Sociedad,91,40,27,158,0
Real Madrid,Sevilla FC,91,28,45,164,0
Real Madrid,Valencia CF,96,38,48,182,0
Real Madrid,Villarreal CF,29,17,6,52,0
Real Oviedo,Real Sociedad,22,18,18,58,0
Real Oviedo,Sevilla FC,24,15,27,66,0
Real Oviedo,Valencia CF,23,21,34,78,0
Real Oviedo,Villarreal CF,0,3,3,6,0
Real Sociedad,Sevilla FC,53,33,48,134,0
Real Sociedad,Valencia CF,49,39,62,150,0
Real Sociedad,Villarreal CF,12,13,21,46,0
Sevilla FC,Valencia CF,58,32,72,162,0
Sevilla FC,Villarreal CF,20,14,14,48,0
Valencia CF,Villarreal CF,18,11,23,52,0
